date,Altcoin_unscaled,Altcoin_monthly,isPartial,scale,Altcoin
2022-08-28,53,37.0,False,0.37,19.61
2022-08-29,79,37.0,,0.37,29.23
2022-08-30,47,37.0,,0.37,17.39
2022-08-31,0,37.0,,0.37,0.0
2022-09-01,40,37.0,,0.37,14.8
2022-09-02,41,37.0,,0.37,15.17
2022-09-03,0,37.0,,0.37,0.0
2022-09-04,0,31.0,False,0.31,0.0
2022-09-05,0,31.0,,0.31,0.0
2022-09-06,100,31.0,,0.31,31.0
2022-09-07,27,31.0,,0.31,8.37
2022-09-08,0,31.0,,0.31,0.0
2022-09-09,0,31.0,,0.31,0.0
2022-09-10,87,31.0,,0.31,26.97
2022-09-11,40,24.0,False,0.24,9.6
2022-09-12,19,24.0,,0.24,4.56
2022-09-13,70,24.0,,0.24,16.8
2022-09-14,32,24.0,,0.24,7.68
2022-09-15,0,24.0,,0.24,0.0
2022-09-16,0,24.0,,0.24,0.0
2022-09-17,0,24.0,,0.24,0.0
2022-09-18,0,21.0,False,0.21,0.0
2022-09-19,0,21.0,,0.21,0.0
2022-09-20,0,21.0,,0.21,0.0
2022-09-21,0,21.0,,0.21,0.0
2022-09-22,0,21.0,,0.21,0.0
2022-09-23,0,21.0,,0.21,0.0
2022-09-24,24,21.0,,0.21,5.04
2022-09-25,0,17.0,False,0.17,0.0
2022-09-26,0,17.0,,0.17,0.0
2022-09-27,0,17.0,,0.17,0.0
2022-09-28,30,17.0,,0.17,5.1000000000000005
2022-09-29,42,17.0,,0.17,7.140000000000001
2022-09-30,19,17.0,,0.17,3.2300000000000004
2022-10-01,0,17.0,,0.17,0.0
2022-10-02,42,32.0,False,0.32,13.44
2022-10-03,0,32.0,,0.32,0.0
2022-10-04,98,32.0,,0.32,31.36
2022-10-05,69,32.0,,0.32,22.080000000000002
2022-10-06,34,32.0,,0.32,10.88
2022-10-07,47,32.0,,0.32,15.040000000000001
2022-10-08,87,32.0,,0.32,27.84
2022-10-09,71,23.0,False,0.23,16.330000000000002
2022-10-10,65,23.0,,0.23,14.950000000000001
2022-10-11,45,23.0,,0.23,10.35
2022-10-12,0,23.0,,0.23,0.0
2022-10-13,63,23.0,,0.23,14.49
2022-10-14,0,23.0,,0.23,0.0
2022-10-15,47,23.0,,0.23,10.81
2022-10-16,0,22.0,False,0.22,0.0
2022-10-17,34,22.0,,0.22,7.48
2022-10-18,0,22.0,,0.22,0.0
2022-10-19,30,22.0,,0.22,6.6
2022-10-20,0,22.0,,0.22,0.0
2022-10-21,0,22.0,,0.22,0.0
2022-10-22,34,22.0,,0.22,7.48
2022-10-23,0,22.0,False,0.22,0.0
2022-10-24,63,22.0,,0.22,13.86
2022-10-25,87,22.0,,0.22,19.14
2022-10-26,46,22.0,,0.22,10.12
2022-10-27,58,22.0,,0.22,12.76
2022-10-28,46,22.0,,0.22,10.12
2022-10-29,100,22.0,,0.22,22.0
2022-10-30,0,26.0,False,0.26,0.0
2022-10-31,39,26.0,,0.26,10.14
2022-11-01,100,26.0,,0.26,26.0
2022-11-02,33,26.0,,0.26,8.58
2022-11-03,57,26.0,,0.26,14.82
2022-11-04,0,26.0,,0.26,0.0
2022-11-05,0,26.0,,0.26,0.0
2022-11-06,51,13.0,False,0.13,6.63
2022-11-07,0,13.0,,0.13,0.0
2022-11-08,0,13.0,,0.13,0.0
2022-11-09,27,13.0,,0.13,3.5100000000000002
2022-11-10,32,13.0,,0.13,4.16
2022-11-11,0,13.0,,0.13,0.0
2022-11-12,65,13.0,,0.13,8.450000000000001
2022-11-13,0,22.0,False,0.22,0.0
2022-11-14,0,22.0,,0.22,0.0
2022-11-15,0,22.0,,0.22,0.0
2022-11-16,0,22.0,,0.22,0.0
2022-11-17,46,22.0,,0.22,10.12
2022-11-18,0,22.0,,0.22,0.0
2022-11-19,0,22.0,,0.22,0.0
2022-11-20,52,25.0,False,0.25,13.0
2022-11-21,49,25.0,,0.25,12.25
2022-11-22,0,25.0,,0.25,0.0
2022-11-23,0,25.0,,0.25,0.0
2022-11-24,44,25.0,,0.25,11.0
2022-11-25,37,25.0,,0.25,9.25
2022-11-26,0,25.0,,0.25,0.0
