date,BTC_unscaled,BTC_monthly,isPartial,scale,BTC
2022-05-05,30,29.0,,0.29,8.7
2022-05-06,32,29.0,,0.29,9.28
2022-05-07,25,29.0,,0.29,7.249999999999999
2022-05-08,32,84.0,False,0.84,26.88
2022-05-09,58,84.0,,0.84,48.72
2022-05-10,53,84.0,,0.84,44.519999999999996
2022-05-11,78,84.0,,0.84,65.52
2022-05-12,100,84.0,,0.84,84.0
2022-05-13,67,84.0,,0.84,56.28
2022-05-14,48,84.0,,0.84,40.32
2022-05-15,39,43.0,False,0.43,16.77
2022-05-16,42,43.0,,0.43,18.06
2022-05-17,39,43.0,,0.43,16.77
2022-05-18,37,43.0,,0.43,15.91
2022-05-19,38,43.0,,0.43,16.34
2022-05-20,35,43.0,,0.43,15.049999999999999
2022-05-21,28,43.0,,0.43,12.04
2022-05-22,27,35.0,False,0.35,9.45
2022-05-23,34,35.0,,0.35,11.899999999999999
2022-05-24,32,35.0,,0.35,11.2
2022-05-25,28,35.0,,0.35,9.799999999999999
2022-05-26,30,35.0,,0.35,10.5
2022-05-27,30,35.0,,0.35,10.5
2022-05-28,25,35.0,,0.35,8.75
2022-05-29,23,28.0,False,0.28,6.44
2022-05-30,28,28.0,,0.28,7.840000000000001
2022-05-31,35,28.0,,0.28,9.8
2022-06-01,24,28.0,,0.28,6.720000000000001
2022-06-02,22,28.0,,0.28,6.16
2022-06-03,21,28.0,,0.28,5.880000000000001
2022-06-04,17,28.0,,0.28,4.760000000000001
2022-06-05,16,29.0,False,0.29,4.64
2022-06-06,22,29.0,,0.29,6.38
2022-06-07,25,29.0,,0.29,7.249999999999999
2022-06-08,19,29.0,,0.29,5.51
2022-06-09,17,29.0,,0.29,4.93
2022-06-10,21,29.0,,0.29,6.09
2022-06-11,20,29.0,,0.29,5.8
2022-06-12,31,100.0,False,1.0,31.0
2022-06-13,100,100.0,,1.0,100.0
2022-06-14,90,100.0,,1.0,90.0
2022-06-15,77,100.0,,1.0,77.0
2022-06-16,57,100.0,,1.0,57.0
2022-06-17,51,100.0,,1.0,51.0
2022-06-18,94,100.0,,1.0,94.0
2022-06-19,85,69.0,False,0.69,58.65
2022-06-20,61,69.0,,0.69,42.089999999999996
2022-06-21,44,69.0,,0.69,30.36
2022-06-22,39,69.0,,0.69,26.909999999999997
2022-06-23,37,69.0,,0.69,25.529999999999998
2022-06-24,33,69.0,,0.69,22.77
2022-06-25,26,69.0,,0.69,17.939999999999998
2022-06-26,27,46.0,False,0.46,12.42
2022-06-27,35,46.0,,0.46,16.1
2022-06-28,31,46.0,,0.46,14.26
2022-06-29,31,46.0,,0.46,14.26
2022-06-30,38,46.0,,0.46,17.48
2022-07-01,100,46.0,,0.46,46.0
2022-07-02,85,46.0,,0.46,39.1
2022-07-03,78,39.0,False,0.39,30.42
2022-07-04,75,39.0,,0.39,29.25
2022-07-05,93,39.0,,0.39,36.27
2022-07-06,71,39.0,,0.39,27.69
