date,BIT_unscaled,BIT_monthly,isPartial,scale,BIT
2022-12-12,93,83.0,,0.83,77.19
2022-12-13,100,83.0,,0.83,83.0
2022-12-14,95,83.0,,0.83,78.85
2022-12-15,91,83.0,,0.83,75.53
2022-12-16,95,83.0,,0.83,78.85
2022-12-17,87,83.0,,0.83,72.21
2022-12-18,90,81.0,False,0.81,72.9
2022-12-19,90,81.0,,0.81,72.9
2022-12-20,91,81.0,,0.81,73.71000000000001
2022-12-21,94,81.0,,0.81,76.14
2022-12-22,89,81.0,,0.81,72.09
2022-12-23,87,81.0,,0.81,70.47
2022-12-24,91,81.0,,0.81,73.71000000000001
2022-12-25,87,82.0,False,0.82,71.33999999999999
2022-12-26,94,82.0,,0.82,77.08
2022-12-27,98,82.0,,0.82,80.36
2022-12-28,87,82.0,,0.82,71.33999999999999
2022-12-29,96,82.0,,0.82,78.72
2022-12-30,90,82.0,,0.82,73.8
2022-12-31,96,82.0,,0.82,78.72
2023-01-01,84,80.0,False,0.8,67.2
2023-01-02,85,80.0,,0.8,68.0
2023-01-03,81,80.0,,0.8,64.8
2023-01-04,87,80.0,,0.8,69.60000000000001
2023-01-05,90,80.0,,0.8,72.0
2023-01-06,88,80.0,,0.8,70.4
2023-01-07,93,80.0,,0.8,74.4
2023-01-08,93,81.0,False,0.81,75.33
2023-01-09,83,81.0,,0.81,67.23
2023-01-10,96,81.0,,0.81,77.76
2023-01-11,92,81.0,,0.81,74.52000000000001
2023-01-12,85,81.0,,0.81,68.85000000000001
2023-01-13,94,81.0,,0.81,76.14
2023-01-14,95,81.0,,0.81,76.95
2023-01-15,98,83.0,False,0.83,81.33999999999999
2023-01-16,99,83.0,,0.83,82.17
2023-01-17,91,83.0,,0.83,75.53
2023-01-18,91,83.0,,0.83,75.53
2023-01-19,100,83.0,,0.83,83.0
2023-01-20,92,83.0,,0.83,76.36
2023-01-21,90,83.0,,0.83,74.7
2023-01-22,87,85.0,False,0.85,73.95
2023-01-23,91,85.0,,0.85,77.35
2023-01-24,95,85.0,,0.85,80.75
2023-01-25,91,85.0,,0.85,77.35
2023-01-26,83,85.0,,0.85,70.55
2023-01-27,95,85.0,,0.85,80.75
2023-01-28,90,85.0,,0.85,76.5
2023-01-29,91,81.0,False,0.81,73.71000000000001
2023-01-30,91,81.0,,0.81,73.71000000000001
2023-01-31,100,81.0,,0.81,81.0
2023-02-01,96,81.0,,0.81,77.76
2023-02-02,93,81.0,,0.81,75.33
2023-02-03,95,81.0,,0.81,76.95
2023-02-04,94,81.0,,0.81,76.14
2023-02-05,100,86.0,False,0.86,86.0
2023-02-06,99,86.0,,0.86,85.14
2023-02-07,100,86.0,,0.86,86.0
2023-02-08,95,86.0,,0.86,81.7
2023-02-09,94,86.0,,0.86,80.84
2023-02-10,94,86.0,,0.86,80.84
2023-02-11,90,86.0,,0.86,77.4
2023-02-12,98,84.0,False,0.84,82.32
2023-02-13,87,84.0,,0.84,73.08
2023-02-14,89,84.0,,0.84,74.75999999999999
2023-02-15,90,84.0,,0.84,75.6
2023-02-16,94,84.0,,0.84,78.96
2023-02-17,94,84.0,,0.84,78.96
2023-02-18,90,84.0,,0.84,75.6
2023-02-19,89,80.0,False,0.8,71.2
2023-02-20,93,80.0,,0.8,74.4
2023-02-21,92,80.0,,0.8,73.60000000000001
2023-02-22,88,80.0,,0.8,70.4
2023-02-23,91,80.0,,0.8,72.8
2023-02-24,92,80.0,,0.8,73.60000000000001
2023-02-25,96,80.0,,0.8,76.80000000000001
2023-02-26,94,90.0,False,0.9,84.60000000000001
2023-02-27,95,90.0,,0.9,85.5
2023-02-28,89,90.0,,0.9,80.10000000000001
2023-03-01,82,90.0,,0.9,73.8
2023-03-02,90,90.0,,0.9,81.0
2023-03-03,86,90.0,,0.9,77.4
2023-03-04,80,90.0,,0.9,72.0
2023-03-05,90,83.0,False,0.83,74.7
2023-03-06,94,83.0,,0.83,78.02
2023-03-07,81,83.0,,0.83,67.22999999999999
2023-03-08,84,83.0,,0.83,69.72
2023-03-09,87,83.0,,0.83,72.21
2023-03-10,92,83.0,,0.83,76.36
2023-03-11,89,83.0,,0.83,73.86999999999999
2023-03-12,88,87.0,False,0.87,76.56
2023-03-13,82,87.0,,0.87,71.34
2023-03-14,90,87.0,,0.87,78.3
2023-03-15,93,87.0,,0.87,80.91
2023-03-16,86,87.0,,0.87,74.82
2023-03-17,86,87.0,,0.87,74.82
2023-03-18,100,87.0,,0.87,87.0
2023-03-19,93,86.0,False,0.86,79.98
2023-03-20,96,86.0,,0.86,82.56
2023-03-21,92,86.0,,0.86,79.12
2023-03-22,87,86.0,,0.86,74.82
2023-03-23,90,86.0,,0.86,77.4
2023-03-24,92,86.0,,0.86,79.12
2023-03-25,94,86.0,,0.86,80.84
2023-03-26,93,83.0,False,0.83,77.19
2023-03-27,91,83.0,,0.83,75.53
2023-03-28,82,83.0,,0.83,68.06
2023-03-29,91,83.0,,0.83,75.53
2023-03-30,87,83.0,,0.83,72.21
2023-03-31,90,83.0,,0.83,74.7
2023-04-01,88,83.0,,0.83,73.03999999999999
2023-04-02,89,88.0,False,0.88,78.32000000000001
2023-04-03,87,88.0,,0.88,76.56
2023-04-04,91,88.0,,0.88,80.08
2023-04-05,92,88.0,,0.88,80.96
2023-04-06,92,88.0,,0.88,80.96
2023-04-07,91,88.0,,0.88,80.08
2023-04-08,91,88.0,,0.88,80.08
2023-04-09,89,84.0,False,0.84,74.75999999999999
2023-04-10,94,84.0,,0.84,78.96
2023-04-11,92,84.0,,0.84,77.28
2023-04-12,89,84.0,,0.84,74.75999999999999
2023-04-13,98,84.0,,0.84,82.32
2023-04-14,100,84.0,,0.84,84.0
2023-04-15,90,84.0,,0.84,75.6
2023-04-16,91,81.0,False,0.81,73.71000000000001
2023-04-17,86,81.0,,0.81,69.66000000000001
2023-04-18,91,81.0,,0.81,73.71000000000001
2023-04-19,95,81.0,,0.81,76.95
2023-04-20,91,81.0,,0.81,73.71000000000001
2023-04-21,97,81.0,,0.81,78.57000000000001
2023-04-22,98,81.0,,0.81,79.38000000000001
2023-04-23,94,87.0,False,0.87,81.78
2023-04-24,86,87.0,,0.87,74.82
2023-04-25,90,87.0,,0.87,78.3
2023-04-26,92,87.0,,0.87,80.04
2023-04-27,90,87.0,,0.87,78.3
2023-04-28,88,87.0,,0.87,76.56
2023-04-29,94,87.0,,0.87,81.78
2023-04-30,86,80.0,False,0.8,68.8
2023-05-01,87,80.0,,0.8,69.60000000000001
2023-05-02,89,80.0,,0.8,71.2
2023-05-03,89,80.0,,0.8,71.2
2023-05-04,92,80.0,,0.8,73.60000000000001
2023-05-05,89,80.0,,0.8,71.2
2023-05-06,87,80.0,,0.8,69.60000000000001
2023-05-07,93,93.0,False,0.93,86.49000000000001
2023-05-08,94,93.0,,0.93,87.42
2023-05-09,92,93.0,,0.93,85.56
2023-05-10,94,93.0,,0.93,87.42
2023-05-11,95,93.0,,0.93,88.35000000000001
2023-05-12,96,93.0,,0.93,89.28
2023-05-13,95,93.0,,0.93,88.35000000000001
2023-05-14,90,85.0,False,0.85,76.5
2023-05-15,90,85.0,,0.85,76.5
2023-05-16,95,85.0,,0.85,80.75
2023-05-17,89,85.0,,0.85,75.64999999999999
2023-05-18,94,85.0,,0.85,79.89999999999999
2023-05-19,90,85.0,,0.85,76.5
2023-05-20,98,85.0,,0.85,83.3
2023-05-21,94,84.0,False,0.84,78.96
2023-05-22,86,84.0,,0.84,72.24
2023-05-23,93,84.0,,0.84,78.11999999999999
2023-05-24,92,84.0,,0.84,77.28
2023-05-25,94,84.0,,0.84,78.96
2023-05-26,92,84.0,,0.84,77.28
2023-05-27,100,84.0,,0.84,84.0
2023-05-28,91,85.0,False,0.85,77.35
2023-05-29,95,85.0,,0.85,80.75
2023-05-30,87,85.0,,0.85,73.95
2023-05-31,91,85.0,,0.85,77.35
2023-06-01,90,85.0,,0.85,76.5
2023-06-02,82,85.0,,0.85,69.7
2023-06-03,84,85.0,,0.85,71.39999999999999
2023-06-04,90,87.0,False,0.87,78.3
2023-06-05,85,87.0,,0.87,73.95
2023-06-06,85,87.0,,0.87,73.95
2023-06-07,87,87.0,,0.87,75.69
2023-06-08,91,87.0,,0.87,79.17
2023-06-09,85,87.0,,0.87,73.95
2023-06-10,89,87.0,,0.87,77.42999999999999
2023-06-11,93,94.0,False,0.94,87.42
2023-06-12,86,94.0,,0.94,80.83999999999999
2023-06-13,99,94.0,,0.94,93.05999999999999
2023-06-14,86,94.0,,0.94,80.83999999999999
2023-06-15,90,94.0,,0.94,84.6
2023-06-16,84,94.0,,0.94,78.96
2023-06-17,94,94.0,,0.94,88.36
2023-06-18,94,88.0,False,0.88,82.72
2023-06-19,92,88.0,,0.88,80.96
2023-06-20,87,88.0,,0.88,76.56
2023-06-21,90,88.0,,0.88,79.2
2023-06-22,90,88.0,,0.88,79.2
2023-06-23,85,88.0,,0.88,74.8
2023-06-24,94,88.0,,0.88,82.72
2023-06-25,100,91.0,False,0.91,91.0
2023-06-26,92,91.0,,0.91,83.72
2023-06-27,95,91.0,,0.91,86.45
2023-06-28,92,91.0,,0.91,83.72
2023-06-29,90,91.0,,0.91,81.9
2023-06-30,90,91.0,,0.91,81.9
2023-07-01,96,91.0,,0.91,87.36
2023-07-02,95,91.0,False,0.91,86.45
2023-07-03,88,91.0,,0.91,80.08
2023-07-04,91,91.0,,0.91,82.81
2023-07-05,91,91.0,,0.91,82.81
2023-07-06,93,91.0,,0.91,84.63000000000001
2023-07-07,86,91.0,,0.91,78.26
2023-07-08,95,91.0,,0.91,86.45
2023-07-09,92,94.0,False,0.94,86.47999999999999
2023-07-10,97,94.0,,0.94,91.17999999999999
2023-07-11,96,94.0,,0.94,90.24
2023-07-12,99,94.0,,0.94,93.05999999999999
2023-07-13,98,94.0,,0.94,92.11999999999999
2023-07-14,93,94.0,,0.94,87.42
2023-07-15,96,94.0,,0.94,90.24
2023-07-16,93,82.0,False,0.82,76.25999999999999
2023-07-17,95,82.0,,0.82,77.89999999999999
2023-07-18,95,82.0,,0.82,77.89999999999999
2023-07-19,97,82.0,,0.82,79.53999999999999
2023-07-20,90,82.0,,0.82,73.8
2023-07-21,93,82.0,,0.82,76.25999999999999
2023-07-22,95,82.0,,0.82,77.89999999999999
2023-07-23,100,85.0,False,0.85,85.0
2023-07-24,92,85.0,,0.85,78.2
2023-07-25,91,85.0,,0.85,77.35
2023-07-26,93,85.0,,0.85,79.05
2023-07-27,95,85.0,,0.85,80.75
2023-07-28,85,85.0,,0.85,72.25
2023-07-29,94,85.0,,0.85,79.89999999999999
2023-07-30,98,84.0,False,0.84,82.32
2023-07-31,91,84.0,,0.84,76.44
